team id,fitness
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
5,8.0
6,0.0
8,1.0
